Date,Spot_Price,Total OI,Market Cap,OI to Market Cap %,pct change,Futures Price,Funding Rate (Calculated),Funding Rate %
2022-11-28,16417.0,9854800518.0,311295508256.25,3.1657381030656557,-0.22905323649365927,15990.0,-427.0,0.0009533333333333335
2022-11-29,16220.2369,9799323074.0,316921156406.25,3.0920381539434354,-1.198532618627035,16265.0,44.76310000000012,0.0028486666666666664
2022-11-30,16430.5,9880350923.0,322853562281.25,3.060319623914464,1.29630104231091,17080.0,649.5,0.005651
2022-12-01,17169.25,10144808465.0,325946712131.25,3.112413191305626,4.496211314323961,16820.0,-349.25,0.002009333333333334
2022-12-02,16950.0,10074933323.0,328229523437.5,3.0694780949278084,-1.2769922972756476,16995.0,45.0,0.002425
2022-12-03,17074.13,9994026597.0,325896949106.25,3.0666217110678486,0.7323303834808392,,,0.006141666666666666
2022-12-04,16886.0,9780587602.0,329121514000.0,2.97172539197787,-1.1018423779132536,17060.0,174.0,0.005730666666666666
2022-12-05,17123.929,10045835553.0,326370496500.0,3.0780464719487903,1.4090311500651431,16825.0,-298.9290000000001,0.00014633333333333338
2022-12-06,16965.0,10018495299.0,326825536337.5,3.0653955046689774,-0.9281105989168759,16945.0,-20.0,0.002876333333333333
2022-12-07,17078.79,9752227966.0,324345745425.0,3.006738365943836,0.6707338638373139,16725.0,-353.7900000000009,0.0023510000000000002
2022-12-08,16820.5,9640720699.0,331955644800.0,2.9042195395738606,-1.5123436730588136,17185.0,364.5,0.0011673333333333334
2022-12-09,17243.785,9782256303.0,329224952306.25,2.9712985709237487,2.5164828631729197,17035.0,-208.78499999999985,0.002794333333333334
2022-12-10,17117.5,9492695409.0,329894831531.25,2.877491400801405,-0.7323508150907654,,,-0.00021500000000000005
2022-12-11,17115.0801,9533966824.0,329890718250.0,2.8900379115167785,-0.01413699430408144,17022.5,-92.58009999999922,0.0008313333333333333
2022-12-12,17070.0,9517675213.0,330502994062.5,2.879754611602748,-0.26339403459758604,17115.0,45.0,0.0011246666666666668
